Frequency (Hz)	|	Gain (dB)
871.000000	|	-22.219377
872.000000	|	-22.221152
873.000000	|	-22.222940
874.000000	|	-22.230653
875.000000	|	-22.262947
876.000000	|	-22.267938
877.000000	|	-22.272929
878.000000	|	-22.282129
879.000000	|	-22.291243
880.000000	|	-22.295629
881.000000	|	-22.296153
882.000000	|	-22.296655
883.000000	|	-22.297157
884.000000	|	-22.298881
885.000000	|	-22.300606
886.000000	|	-22.304098
887.000000	|	-22.311992
888.000000	|	-22.331552
889.000000	|	-22.342189
890.000000	|	-22.347323
891.000000	|	-22.349798
892.000000	|	-22.350003
893.000000	|	-22.350207
894.000000	|	-22.350370
895.000000	|	-22.350695
896.000000	|	-22.350858
897.000000	|	-22.352519
898.000000	|	-22.379272
899.000000	|	-22.387217
900.000000	|	-22.403105
901.000000	|	-22.411050
902.000000	|	-22.417485
903.000000	|	-22.430357
904.000000	|	-22.436792
905.000000	|	-22.446787
906.000000	|	-22.446859
907.000000	|	-22.446932
908.000000	|	-22.447797
909.000000	|	-22.448662
910.000000	|	-22.452304
911.000000	|	-22.454125
912.000000	|	-22.467371
913.000000	|	-22.469121
914.000000	|	-22.472620
915.000000	|	-22.474369
916.000000	|	-22.478827
917.000000	|	-22.482639
918.000000	|	-22.482779
919.000000	|	-22.482920
920.000000	|	-22.488282
921.000000	|	-22.493644
922.000000	|	-22.499175
923.000000	|	-22.501553
924.000000	|	-22.506310
925.000000	|	-22.508689
926.000000	|	-22.509899
927.000000	|	-22.512320
928.000000	|	-22.513530
929.000000	|	-22.525752
930.000000	|	-22.537974
931.000000	|	-22.593219
932.000000	|	-22.620841
933.000000	|	-22.631606
934.000000	|	-22.636989
935.000000	|	-22.638335
936.000000	|	-22.638419
937.000000	|	-22.638439
938.000000	|	-22.638481
939.000000	|	-22.638481
940.000000	|	-22.638481
941.000000	|	-22.638482
942.000000	|	-22.638483
943.000000	|	-22.638484
944.000000	|	-22.638487
945.000000	|	-22.638496
946.000000	|	-22.638534
947.000000	|	-22.638553
948.000000	|	-22.638631
949.000000	|	-22.638710
950.000000	|	-22.639025
951.000000	|	-22.641548
952.000000	|	-22.644071
953.000000	|	-22.649119
954.000000	|	-22.669311
955.000000	|	-22.689490
956.000000	|	-22.689623
957.000000	|	-22.689624
958.000000	|	-22.689624
959.000000	|	-22.689624
960.000000	|	-22.689624
961.000000	|	-22.689625
962.000000	|	-22.689625
963.000000	|	-22.689625
964.000000	|	-22.689629
965.000000	|	-22.689631
966.000000	|	-22.689640
967.000000	|	-22.689660
968.000000	|	-22.689741
969.000000	|	-22.689907
970.000000	|	-22.690571
971.000000	|	-22.693283
972.000000	|	-22.704495
973.000000	|	-22.715143
974.000000	|	-22.716826
975.000000	|	-22.720191
976.000000	|	-22.721874
977.000000	|	-22.721883
978.000000	|	-22.721892
979.000000	|	-22.723111
980.000000	|	-22.724330
981.000000	|	-22.731253
982.000000	|	-22.731469
983.000000	|	-22.731901
984.000000	|	-22.732117
985.000000	|	-22.735048
986.000000	|	-22.740912
987.000000	|	-22.743844
988.000000	|	-22.762012
989.000000	|	-22.769574
990.000000	|	-22.777136
991.000000	|	-22.777190
992.000000	|	-22.777298
993.000000	|	-22.777353
994.000000	|	-22.780296
995.000000	|	-22.796885
996.000000	|	-22.805180
997.000000	|	-22.865053
998.000000	|	-22.865106
999.000000	|	-22.865212
1000.000000	|	-22.865265
1001.000000	|	-22.870585
1002.000000	|	-22.875906
1003.000000	|	-22.887860
1004.000000	|	-22.915704
1005.000000	|	-22.920121
1006.000000	|	-22.932202
1007.000000	|	-22.932244
1008.000000	|	-22.932253
1009.000000	|	-22.932256
1010.000000	|	-22.932260
1011.000000	|	-22.932261
1012.000000	|	-22.932264
1013.000000	|	-22.932266
1014.000000	|	-22.932291
1015.000000	|	-22.932429
1016.000000	|	-22.932498
1017.000000	|	-22.932787
1018.000000	|	-22.935119
1019.000000	|	-22.945005
1020.000000	|	-22.984710
1021.000000	|	-22.987636
1022.000000	|	-22.988364
1023.000000	|	-22.988440
1024.000000	|	-22.988467
1025.000000	|	-22.988475
1026.000000	|	-22.988483
1027.000000	|	-22.988643
1028.000000	|	-22.988965
1029.000000	|	-22.989126
1030.000000	|	-22.989939
1031.000000	|	-22.993423
1032.000000	|	-22.995166
1033.000000	|	-23.002171
1034.000000	|	-23.017396
1035.000000	|	-23.032295
